,date,review,star,res,clean_content,topic
86,"August 20, 2020","I quite enjoyed this game! I'm not much into card-based games but this one really got me into it. The art designs were amazing and the voice acting is stellar! The writing is pretty depressing tho, I wish there were more happier endings. One annoying thing tho, the game crashes when there are too many cards on the screen. I got lots of resets because of it. Same goes with ads, sometimes they will blackout then I won't get the reward. Overall this is an amazing mobile game!",4,"Giant NetworkAugust 21, 2020Please upgrade your Android OS～",giant networkaugust pleas upgrad android os,"[3, 4, 2, 1, 0]"
90,"October 6, 2018","I was really enjoying this game. I had a fun deck built, had defeated multiple bosses and was considering purchasing the new chapters. Then boom, my save is gone one day. I hand not played in a few days, no update was applied. I went to continue my story and no save data was found. I tried to pull the backup and nothing there either. I'm pretty annoyed since deck I built was personal to me. Won't be coming back now.",2,"Giant NetworkOctober 9, 2018Did you clean the memory of you phone? Cause it may clean the data of our game.",giant networkoctob clean memori phone caus may clean data game,"[0, 1, 2, 3, 4]"
92,"November 11, 2020","Great game. I like that it's more Grimm-ish than other fairy tail based games. I don't play card building games much, but this one is a keeper. Only 4 stars because the game is advertised as an OFFLINE game yet I can't play the soul hunter unless I log-in and stay on the net. Also, when I play with net, the Ads don't work. Please fix.",4,"Giant NetworkNovember 13, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^",giant networknovemb thank review ^_^ wonder day best luck game ^_^,[0]
94,"December 23, 2020","I'm not really into card games but this is an exception. Both graphics and gameplay are superb. It's simple and easy to play. Controls aren't confusing and the narration is great. The game gives off the ""Franbow"" vibe because the artstyle is so close to it. A mixture of cartoon-ish and spooky. Very great game. Though I gave 4 instead of 5 stars is because you need to unlock the dlc through real life payment. Kinda sad but you get a free class (magician) which is very overpowered. Please fix lol",4,"Giant NetworkDecember 25, 2020Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkdecemb welcom join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
97,"May 8, 2020","I love this game and have kept up on all the updates from the first release. After spending 20+ dollars, I am offended that the latest update has locked a bunch of previous content behind ads requiring paying extra money to remove them. At least acknowledge those who have already spent money on your game",1,"Giant NetworkMay 8, 2020Hello Walz. Team of ""Night of the Full Moon"". We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!　(*^__^*)",giant networkmay hello walz team night full moon apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game ^__^,[2]
99,"February 14, 2021","A thoroughly pleasant game if you like the roguelike card genre. My only gripe is that the game gets repetitive rather fast and while there are multiple classes, you can only play 2, one of which unlocks after seeing a number of ads. It would be great if you could unlock the others as well after seeing a number of ads.",4,"Giant NetworkFebruary 19, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~",giant networkfebruari thank feedback rich game content collect explor variou activ hope tri game confid game attract enough wish happi game,[4]
100,"April 27, 2020",Game is good but it doesn't tell u u only get about 10% of game for free the rest u have to buy I kept playing because it looks like the other 7 characters might be unlockable through gameplay but sadly very very little is unlocked through gameplay so if your not gonna pay just play through the 25 min adventure and delete the game because the rest is just pointless repetitions with no change,1,"Giant NetworkApril 28, 2020Greetings Player! Thank you for supporting us! We appreciate it so much! We will give feedback to the development team. Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/for further inquiries. Do enjoy the game! Thank you :D",giant networkapril greet player thank support us appreci much give feedback develop team feel free contact us fb http www facebook com nightoffullmooncardgam inquiri enjoy game thank,[3]
101,"July 25, 2020","I really enjoy this game and I've bought all if the classes and the DLC. However, this game tends to freeze for me quite a bit. Normally it would only freeze once or twice during a session, however, I'm at the final boss in part if the DLC and it keeps freezing right as I'm about to kill him. I've restarted the app 7 times at the time of writing this (only including the times its crashed during this fight). I really love this game, but the amount of freezing is truly ruining it.",3,"Giant NetworkJuly 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
102,"May 2, 2020","Fun but how to replenish health?? After you battle the enemy and you end up with low health, how do I replenish my health again if I dont level? Sometimes i do not have an option of potions or bandages to restore it. I cannot buy it if it is not offered. I then get stuck going into boss battles with such low health that I cannot win. And end up starting the game over or quitting.",3,"Giant NetworkMay 2, 2020Greetings Player! Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future!",giant networkmay greet player thank support us apolog inconveni caus promis give better game experi futur,"[4, 3]"
103,"November 29, 2020","Waste of time. Cant even play it. Resource incomplete ? Bruhh I downloaded this from googpleplaystore. Why is the resources incomplete ? I tried everything from switching network to uninstalling the game, nothing happenednstill the same. I searhed for solution on google and I found out that This problem is almost 1 year old now 😴",1,"Giant NetworkDecember 2, 2020Please send your problem to our email address: nofmgame@hotmail.com！",giant networkdecemb pleas send problem email address nofmgam hotmail com,[3]
104,"August 29, 2020","Cute, omenious, and intersting choices and boss battles. I never fully finished it but that isnt due to game controls or presentation in fact those have interesting dynamics. Feels a bit like a sudden but easy to fall into game. Not a 5 cause I didn't get around to the endings, but it a game u can drag through if u want or speed through.",4,"Giant NetworkSeptember 1, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkseptemb thank love comment mean lot us issu suggest pleas feel free reach us facebook fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,[1]
105,"February 9, 2021","Simply put, this game is fun, but it lacks the replay value the description leads you to think it'd have. You only get one class to start with, and while the rest are cheap, it's even cheaper that you get locked out of 7/8ths of the game if you don't pay up, even more so if you go past just the classes. Knight is fun, but exclusively knight isn't. Giving everyone just one extra class to start would make this game so much better. But unless they do something like that, I won't be playing much.",3,"Giant NetworkFebruary 9, 2021Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkfebruari welcom join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
106,"August 27, 2020","Paid to remove ads. I didn't realize I was paying to shoot myself in the foot. I should still get the same opportunities that the ad supported version gets.. For example: When you fight and die, sometimes you get the chance to revive (and get a perk) after watching an ad. Not so with ad free version... Not cool... Also, I should get credit for buying some of the items from a bundle when purchasing that bundle... Also not cool... Actual gameplay otherwise is good.",1,"Giant NetworkAugust 6, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!",giant networkaugust apolog inconveni caus payment part unavoid ad futur game develop thank understand support fun game,[2]
107,"October 28, 2020","This is will always be my favorite game 'cause I'm a sucker for any Little Red Riding Hood lore. What I love about this is because the characters have their own set of backstories. The character designs and voice acting is amazing as well. The gameplay is challenging, but it also gives you opportunities to power up with those bonus skills you have achieved from the past levels. Thank god I finally purchased it. It gave me a headache when it won't let me pay lol.",4,"Giant NetworkMay 28, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkmay hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
108,"October 23, 2020","The new update has once again brought localization issues; when you unfortunately die youre supposed to be able to pick a blessing out of three, instead Im faced with three ""blank"" blessings all labeled in the games original language and I cannot pick a blessing nor can I continue to the menu. I literally have to close out the application and reopen the game. Once this is addressed I'll revisit my review.",3,"Giant NetworkOctober 23, 2020Sorry to bring you a bad game experience! We're doing our best to fix it! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",giant networkoctob sorri bring bad game experi best fix apolog inconveni caus promis give better game experi futur enjoy game pleas rate us thank,[4]
109,"April 24, 2020","I LOVE this game and am so glad it can be moved to SD cards. I haven't played it in a while and mean to pick it back up soon. I even bought the expansion and got a few friends to play. That said, the app is getting too big. Even if I played it daily, it just takes up too much space. If it stays this big or gets any bigger, I'll have to permanently remove it.",3,"Giant NetworkApril 24, 2020Greetings Player! Thank you for supporting us! We appreciate it so much! Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/
for further inquiries. Do enjoy the game! Thank you :D",giant networkapril greet player thank support us appreci much feel free contact us fb http www facebook com nightoffullmooncardgam inquiri enjoy game thank,[3]
112,"November 30, 2020","Very fun. Could be better. The amount of cards make trying new strategies fun, and keeps the restarting fresh. However, the Hard mode doesn't have a lot of features of its own, this isn't good when Normal has eputation and courage, and dialogue and decision making. I think more talents would be cool too, yes we unlock new cards for achievements and everything but I feel adding more talents and perhaps have only final bosses give them, or something. I'd like a bit more carry over between games.",3,"Giant NetworkDecember 2, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^We will continue to work hard！",giant networkdecemb thank review ^_^ wonder day best luck game ^_^we continu work hard,[0]
113,"October 4, 2020","Game is fun up until the first big boss. You can clear enemies pretty good if you are smart but the first big boss (werewolf) is too op. Constant healing and combine with the other abilities, no way of beating him. You have to either reset the game and hopefully a better build or pay. Such a disappointment.",1,"Giant NetworkOctober 9, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",giant networkoctob thank support us apolog inconveni caus promis give better game experi futur enjoy game pleas rate us thank,[4]
114,"May 22, 2020","I already bought the collectors edition- seemed like a great game, and felt comfortable supporting the creators.. Feels a bit crummy that now that ads have been implimented, that's not something that came with the full purchase? Like, another $2 just to remove ads on a game I ""Bought"" already. Don't think I'll be recommending this one anymore.",2,"Giant NetworkMay 25, 2020Hello. The ads will be appeared when you open the treasure. When you are fails, it will give you a blessing. If it defeats the chapter BOSS, it will give you double gold coins. It is not compulsory. Your payment will bring hope for the future development of the game. Thanks for your understanding and supporting.",giant networkmay hello ad appear open treasur fail give bless defeat chapter boss give doubl gold coin compulsori payment bring hope futur develop game thank understand support,"[3, 2]"
116,"May 25, 2020","Fun gameplay, and I'll probably end up buying the extra classes in the future, but as a f2p game it's pretty bad. 90% of it is behind a paywall, the ""8 occupations"" shown as a selling point here is a total bait&switch; and to top it off the game has some serious balancing issues. It didn't feel like I beat cursed werewolf because I was good, it just felt like I cheated more than it did.",2,"Giant NetworkMay 25, 2020Hello. Join in our community activities and have the opportunity to unlock new content for free.FB: https://www.facebook.com/NightofFullMoonCardGame/  . Your payment will bring hope for the future development of the game. Thanks for your understanding and supporting.",giant networkmay hello join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam payment bring hope futur develop game thank understand support,[2]
117,"November 25, 2018","What the heck? I bought this app a while ago, played all the heroes, and then let it sit so that new content can be created. When I came back, I found out that all the heroes were locked, the game was full of ads, and there were a bunch of prompts to buy everything again. There seem to be a few new faces, but that is not enough to justify degrading a paid app to a level below what a lot of free apps do.",1,"Giant NetworkNovember 26, 2018hi as for the unlocked heroes, could you contact our FB https://www.facebook.com/NightofFullMoonCardGame for troubleshooting?",giant networknovemb hi unlock hero could contact fb http www facebook com nightoffullmooncardgam troubleshoot,[1]
120,"October 27, 2020",Great game except with the new boss- Apothecary and magician freeze ( even though you said it was fixed) fix it please so I can update my review :) PS- I know the developer replies are automated now because it doesn't apply to my review AT ALL. The game freezing because you couldn't apply a proper update or patch has nothing to do with the gameplay (which I enjoy because it is challenging) except that you can't play a frozen game.,1,"Giant NetworkOctober 27, 2020Good day to you! We are sorry to hear that you feel that way. Please do keep in mind that, our game is based on luck and chance. And that's exactly why we shall keep our fingers crossed for you, hopefully, you will win more often. Good luck and have a most pleasant day!",giant networkoctob good day sorri hear feel way pleas keep mind game base luck chanc exactli shall keep finger cross hope win often good luck pleasant day,[0]
123,"November 19, 2018","I'd really like to buy the full game, and I have Google play credit, but every time I try to pull up the purchase screen, it says I don't have any. The I check my Google wallet, and yet, sure enought, there's money in it. I tried to go through their support option, but it led to an website entirety in Chinese. It's a great game, and I'd like to give them money, but for some reason (not sure if it's them or google) I can't pay them.",2,"Giant NetworkNovember 20, 2018hmm please contact us via FB:https://www.facebook.com/NightofFullMoonCardGame",giant networknovemb hmm pleas contact us via fb http www facebook com nightoffullmooncardgam,"[3, 1, 4, 0, 2]"
126,"December 20, 2020",I wish more mobile games were like this one! The rogue-like card game is an interesting concept and the paid content is good for it's price. If you like strategy card games and have some time to burn try this one out. The only problem I might see with this game is if you don't want to pay anything you are fairly limited in what you can do.,4,"Giant NetworkDecember 22, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!",giant networkdecemb thank love comment mean lot us issu suggest pleas feel free reach us facebook fb http www facebook com nightoffullmooncardgam mail nofmgam hotmail com fun game,[1]
127,"July 2, 2020","I this game 5* before the ad update. Like others, I also bought most of the dlc because I liked the game. However, you thought it was a good idea to add ads and then require that we buy the ad blocker to remove them. You can't create a problem, provide a solution for profit, and then expect your already paying customers to just be happy about it. It's not about the money. It's about being dishonest and disrespectful and I'm not gonna stick around for you to do it again in the future.",1,"Giant NetworkJuly 2, 2020We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",giant networkjuli apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game,[2]
128,"November 20, 2020","There's only ONE class available for f2p players. I get that you need money, but I think the rest of the classes should be available if you get enough of a premium currency or whatever. Plus, when the one class is done with, it feels stale since you know you should've gotten another class and play that one. In conclusion, it's fun, but only until the first class is done (for f2p players).",3,"Giant NetworkNovember 24, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networknovemb apolog inconveni caus payment part unavoid ad futur game develop thank understand support join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
130,"September 23, 2020","Changed from 5 to 2 stars. Returned to this game after a year or so and found that ads are everywhere. In the past you could watch ads to gain advantage, but it was never forced, but now you have to watch them to use essential mechanics. It's absurd, giving how little content game gives for free, and how much devs ask for removing ads even after you bought every other DLC. I see this basically as a spit in the face of all fans.",2,"Giant NetworkSeptember 23, 2020The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it. Thanks for your understanding and supporting. Have fun gaming!",giant networkseptemb advertis part unavoid ad futur game develop purchas game elimin ad remov thank understand support fun game,[2]
132,"July 12, 2020","Great strategic card games. The game gives a variety of way it can be play by having different kind of roles the players can chose. In addition, the way it twist the story of ""little red riding hood"" is superb, the way it became dark gives the feel similar to american series ""once upon a time"". Although, I wasn't able to try all of the role, for it is paid, I can say that it is a fantastic game and I enjoy it.",4,"Giant NetworkJuly 13, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
135,"November 5, 2018","The game is very simple yet entertaining, art style quite suits the game, and prob even weaker phones are capable of running it. Cards are interesting, and player is able to combo cards in order to maximise their effectiveness (in some cases damage output is a bit too high in my opinion). However my rating is severely lowered because of the limit of the content because of purchasable characters. Far as I know, it used to be way more fun and way more entertaining because of more playable (free) classes. What I'd suggest is to leave (as it is) one class available and allow player to unlock two other through achievements or simply completing the game, and leave rest purchasable.",2,"Giant NetworkNovember 6, 2018thx for the detailed comment. actually we indeed had the free version (Beta version)before. but due to policy change of Google play. we had to make some changes. besides, we also have to spend fees on the further development and need some necessary funds.",giant networknovemb thx detail comment actual inde free version beta version due polici chang googl play make chang besid also spend fee develop need necessari fund,[1]
136,"November 3, 2020","Starts out fun, but at the higher levels its all luck. If you dont get the right cards, its impossible to win. So you basically just keep scrolling dice and hope to get lucky. If youre unlucky, erase all of your progress and try again. With no capacity to build an actual custom deck, its basically flipping coins and hoping to get lucky with each fight. Mathmatically it can be impossible to win. Meh.",2,"Giant NetworkNovember 3, 2020Good day to you! We are sorry to hear that you feel that way. Please do keep in mind that, our game is based on luck and chance. And that's exactly why we shall keep our fingers crossed for you, hopefully, you will win more often. Good luck and have a most pleasant day!",giant networknovemb good day sorri hear feel way pleas keep mind game base luck chanc exactli shall keep finger cross hope win often good luck pleasant day,[0]
137,"November 15, 2018","Really enjoy the game. But it's a little imbalanced. I'm having some incredible difficulty with nun, but completed it with magician and little witch, both the same difficulty. Game difficulty builds rapidly, to the point where you wonder why normal difficulty is so damn hard. Some cards in the shop have way too high price tags and are impossible to get. Every class has a weakness in one or two specific enemies. You will probably lose if you don't chance upon any recovery after one of those fights or level up from it.",3,"Giant NetworkNovember 14, 2018hi please follow our FB page: https://www.facebook.com/NightofFullMoonCardGame and DM us directly.",giant networknovemb hi pleas follow fb page http www facebook com nightoffullmooncardgam dm us directli,"[1, 0, 3, 4, 2]"
138,"November 14, 2020","I rarely regret a purchase but this game ended up being one of them. The game seems to be fun and full of content that has a little bit locked behind a paywall... Which is kinda true. The f2p portion of the game is easily the best and only worthwhile aspect of the game. If you pay to unlock all of the content you will soon find that the game is very, VERY, chinese. I'm talking broken unintelligible gibberish, cards that don't do what they say, etc. Worth it to play, not worth spending on though.",2,"Giant NetworkNovember 18, 2020Thank you for supporting us! We apologize for any inconvenience caused. We have fixed the bug! We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",giant networknovemb thank support us apolog inconveni caus fix bug promis give better game experi futur enjoy game pleas rate us thank,[4]
139,"August 23, 2020","It's rigged. I have played for days on both the knight and the magician and I am unable to get past the 3rd hard stage on either one. The bosses completely annihilate me anytime I get them down to less than a quarter of their health. If you can't beat the bosses at the 3rd hardest, how can you after that point?",1,"Giant NetworkAugust 24, 2020The boss is not invincible. You can change the card deck or discuss with other players in the community. I believe you can beat him.",giant networkaugust boss invinc chang card deck discuss player commun believ beat,"[3, 2]"
140,"April 21, 2020",I'm trying to play this game for 3 days now and by trying I mean like really hard. I uninstalled it multiple times and refreshed my phone too but still I have a hard time staying logged in and sometimes even logging in itself is a problem. All my progress gets lost the moment I exit the game and each time I need to start all over. Would appreciate some help.,1,"Giant NetworkApril 22, 2020Could you kindly tell us more about the problem you are facing to email: nofmgame@hotmail.com ? We will check it and solve it as soon as possible.",giant networkapril could kindli tell us problem face email nofmgam hotmail com check solv soon possibl,[3]
141,"January 1, 2021","It has potential, BUT there are serious balance issues for certain classes against things like the phantom captain vs a soul hunter class. The effects of the two damage abilities redirected is way too strong for that class in specific. For example I would have to do 24 damage to myself in order to do 6 damage to the enemy. That is a huge issue that needs looking into. If they balance out the classes better the rating will change. But until then be warned, there are class balance issues.",1,"Giant NetworkJanuary 4, 2021Please send your thoughts to our email address: nofmgame@hotmail.com We will continue to work hard！",giant networkjanuari pleas send thought email address nofmgam hotmail com continu work hard,[3]
149,"February 18, 2021",It's a good game. I really enjoyed it. I'm sad what appears to be 90% of it is behind a paywall. Good graphics and story line had me hooked. If it ever becomes fully free or unlockable by ads then I will be more then happy to play it again. Update: thank you for your responce. I completely understand. Upped another star for your responce. :),4,"Giant NetworkDecember 9, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkdecemb apolog inconveni caus payment part unavoid ad futur game develop thank understand support join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
151,"August 17, 2020","Game didn't used to have adverts. Now it does. 0.99$ (£0.74) for the US to remove Ads, but £1.89 (2.51$) for the UK to remove. A huge insult on a good game Back in the day, the Knight, Ranger, Nun and Magician were all unlockables. They now appear in store, likely meaning they no longer can be. If you can ignore the high charges to play, the game is otherwise entertaining, though perhaps a little easy.",3,"Giant NetworkAugust 18, 2020Thank you for supporting us! We apologize for any inconvenience caused. We promise to give you a better gaming experience in the future! Do enjoy the game and please rate for us again! Thank you :D",giant networkaugust thank support us apolog inconveni caus promis give better game experi futur enjoy game pleas rate us thank,[4]
152,"April 30, 2020",Is a fun and engaging experience until you get to the wolf in the hardest difficulty. Then no matter how much you have build your deck or broken you think your stuff is. You will get destroyed 100% of the time. Edit. It is also now ridden with ads since the last update (even if you paid for content) . I don't recommend this game at all anymore.,1,"Giant NetworkApril 30, 2020Greetings Player! Thank you for supporting us! We appreciate it so much! Do feel free to contact us on FB: https://www.facebook.com/NightofFullMoonCardGame/for further inquiries. Do enjoy the game! Thank you :D",giant networkapril greet player thank support us appreci much feel free contact us fb http www facebook com nightoffullmooncardgam inquiri enjoy game thank,[3]
153,"July 10, 2020","It is a very entertaining game. I've completed 2 classes. I dislike and like their ad function if that makes any sense. Using it will make the game easier (double gold, shop refresh, etc) but it feels a bit like cheating sometimes. The DLCs are somewhat pricy. I'm thinking about purchasing the Red Hood Diaries though.",4,"Giant NetworkJuly 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
157,"September 22, 2020","I very much enjoyed this game i was so in to all the charecters and the de k building and the strategy until i came to find out that the only way you get to play all of the adventure is by paying for the rest you get one free story which is only a couple of bosses and thats it you have to pay for the rest which sucks you litteraly just get a trial for it and thats it. I personaly hope the producers read this because my message to you is simple say "" free trial""",1,"Giant NetworkSeptember 23, 2020The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!",giant networkseptemb payment part unavoid ad futur game develop thank understand support fun game,[2]
158,"December 19, 2020","You can only play as the first character for free. Once you beat the final boss, there's absolutely nothing to do other than replay the same character with almost no difference. Not that bad, so why 1 star? The rest of the characters are locked behind a paywall. Is it unlocked after you complete the previous character? No. It should unlock the next stage instead of hard locking it behind a paywall. Understandable but still a scumbag move.",1,"Giant NetworkDecember 22, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkdecemb apolog inconveni caus payment part unavoid ad futur game develop thank understand support join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
159,"July 10, 2020","The 8 occupations it just a click bait and like 90% of the content that I downloaded was unplayable I spent the few daya this is a perfect game for me cause I like tcg. I'm not being like this cause i hate the game, I'ts because I have high hopes for it. I hope u guys will make us play more without paying THANKS!!",1,"Giant NetworkJuly 13, 2020Hello. Thank you for supporting us! You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us join commun activ opportun unlock new content free fb http www facebook com nightoffullmooncardgam enjoy game thank,[2]
162,"May 2, 2020","The newest update added ad shops to the story that make you have to either watch an ad, or pay for the ad block in the shop. If you don't watch the ads, you can't get the best options for cards. I had every in app purchase except the puzzles, but I won't be buying anything else. -response- Edit: I won't be buying the solution to a problem you added because I've spent so much already, and because you added ads as an integral part of the game I will no longer be playing it. It was fun, not now.",1,"Giant NetworkMay 3, 2020Hello Dear Mr. Mosier. We apologize for any inconvenience caused to you. The advertising part was unavoidably added for future game development. If you purchase in game for eliminating ad, you can remove it.Your payment will bring hope for the future development of the game. Thanks for your understanding and supporting. Have fun gaming!❤️",giant networkmay hello dear mr mosier apolog inconveni caus advertis part unavoid ad futur game develop purchas game elimin ad remov payment bring hope futur develop game thank understand support fun game,[2]
166,"July 20, 2020",Great turned base card game and I did beat and unlocked the 4th boss call The Mystery Man. The big problem the Cursed Werewolve in Hard 7 is close to impossible to beat so I had to rate this 4 stars. I hope in future update the final boss in hard 7 is nerf. Only a few players all over the world can beat this final boss by using a certain cards and blessings.,4,"Giant NetworkJuly 13, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
169,"June 27, 2020","This game is awesome, but I don't know if there's been an update or anyting. Because, now the advertisement chests keep saying that the advertisement is not ready yet. I don't know if there's a limit on the advertisement chest or Resurrection advertisements, but it seems not to work majority of the time. If you guys are not going to let us watch the advertisement for either of those things and did not work then why haven't been the game at all. Would be great you guys would have fixed this.",4,"Giant NetworkJune 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjun hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
171,"July 25, 2020","Let me first say that I'm an avid Card Roguelike game player - I thoroughly enjoyed my first 2-3 playthroughs of this. Unfortunately, after that, I unlocked all the skill tree, finished half of the achievements and that was that. Unfortunately, it seems like there is a lack of progression for f2p players. If there was a way to unlock a different story, other classes, or even an extended skill tree I would be more inclined to play more. That being said, it was a very fun first few plays!",3,"Giant NetworkJuly 27, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D",giant networkjuli hello thank support us appreci much issu suggest pleas feel free reach us facebook http www facebook com nightoffullmooncardgam enjoy game thank,"[0, 1, 2, 3, 4]"
173,"November 12, 2020","The fact that there's no forced ads is brilliant, that right there bumps it up a star to 2 Stars, second, it's a pretty fun game and items in-game are really cheap. That makes it 3 stars. It has interesting mechanics that are inspired by slay the spire, but it's not so ridiculously hard that I can't enjoy it. That makes it 4 stars. But what makes this rating low is the overpowered last boss, the most laziest thing I've ever seen.",3,"Giant NetworkNovember 13, 2020The ads will be appeared when you open the treasure. When you are fails, it will give you a blessing. If it defeats the chapter BOSS, it will give you double gold coins. It is not compulsory. Thanks for your understanding and supporting.",giant networknovemb ad appear open treasur fail give bless defeat chapter boss give doubl gold coin compulsori thank understand support,[3]
176,"January 12, 2021","I love the game and have bought the collectors edition and almost all the character DLCs. But recently when I have tried to buy the Mechanic dlc with my google play credit it is displaying my account amount less than what it actually is. The game says that it is 73 cents, but my account says that it is 1.11 dollars. Please help, because I want to use the Mechanic a lot but am unable to buy it even though I have the money for it.",3,"Giant NetworkJanuary 13, 2021I am so sorry! We can't solve the problem of Google wallet!",giant networkjanuari sorri solv problem googl wallet,[1]
