web-scraper-order,web-scraper-start-url,reviewer,date,review,star,res
"1614875612-3280","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Noah Carver","July 21, 2020","","Rated 5 stars out of five stars","Giant NetworkJuly 22, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2114","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Philippe Bellefeuille","August 24, 2020","The game looks very good, but.... I just don't get the gameplay. You get 2 cards (or more with upgrades) per turn... and you play those 2 cards (or how many you have). There is zero decision making. Sure, you choose the cards and upgrades between fights, but why do I even have to play the fights when there is no decision involved? Just automatically play the damn cards! There are better versions of this genre, this one is very boring.","Rated 2 stars out of five stars","Giant NetworkAugust 24, 2020We will optimize the game！"
"1614875612-3558","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Spark Entertainment","September 18, 2018","","Rated 5 stars out of five stars","null"
"1614875612-2241","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","D. Green","June 26, 2020","Fun, simple deckbuilder that's still in early stages of development. Gameplay is solid. Will rate 5 stars when the game is more polished. It currently still needs spelling corrections (word ""tune"" needs to be ""turn"" in UI tooltips for example), & needs a good native English speaker to fix subject-verb agreement in a few descriptions.","Rated 4 stars out of five stars","Giant NetworkJune 27, 2020We'll optimize the spelling！"
"1614875612-3884","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","jason allen","September 8, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3563","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Codingkittens","July 15, 2020","","Rated 4 stars out of five stars","Giant NetworkJuly 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3118","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Meg Yedgiy","September 10, 2020","","Rated 5 stars out of five stars","Giant NetworkSeptember 11, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-5097","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mohammad Aziz Husein","February 7, 2019","","Rated 4 stars out of five stars","null"
"1614875612-1481","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Draconian empire","October 24, 2020","","Rated 2 stars out of five stars","null"
"1614875612-3419","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","SirPards","May 30, 2020","","Rated 5 stars out of five stars","Giant NetworkMay 31, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3576","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Andrew Chiew","September 18, 2018","","Rated 4 stars out of five stars","null"
"1614875612-3655","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Alejandro Benitez Arevalo","August 3, 2020","","Rated 1 stars out of five stars","Giant NetworkAugust 3, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!"
"1614875612-2260","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Edoardo Piscicelli Taeggi","May 9, 2020","I absolutely love this game. It's entertaining and fun, makes you wanna keep playing, the ads are completely optional and not intruding which is a big plus honestly, but they're handy when you die lmao. I'm slightly disappointed I can't play the other classes without paying, although it's a small price I'm honestly not up for it, but I think it's also completely fine cause the devs need something in return for this amazing game.","Rated 5 stars out of five stars","null"
"1614875612-1474","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Blitx 2","October 25, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 27, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"1614875612-1821","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Kiera Bacon","February 10, 2019","A great little deck building game with a beautiful aesthetic and a neat story based on fairytales. The gameplay is excellent and intuitive, and I never had any issues. If I had to criticize it, there are only a small number of viable strategies for each character, and sometimes you can get too many cards in your hand for the screen. Over all, while reply value isn't excellent, I highly recommend this game.","Rated 5 stars out of five stars","null"
"1614875612-3223","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","warcroft","January 6, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3669","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Aris Budi","April 12, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2186","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Uncle Bourbone","April 12, 2019","Amazingly fun game! The learning curve is what makes it a blast! I have been playing this game for quite a while and each update has brought me a reason to keep coming back! I love the challenge, the balance of the enemies and cards, the art style is GORGEOUS and feels fresh, the way to build each class in multiple ways to play around with streamlining and overpowering your deck. Seriously great game, can't wait to see how far it goes.","Rated 5 stars out of five stars","null"
"1614875612-2711","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jiramed Withunsapphasiri","August 15, 2020","This game is wonderful card game roguelike. I found this game around 3-4 month. Download content of this game can change the style playing card. Before you playing you have to choose your jobs. And go to defeat monster and events in the game trail. Design game play is very amezing. If you want to dond something new from other card game roguelike this game is recommended from me. Ps. When is the next DLC of this game is arrive? I waiting you here!!!","Rated 5 stars out of five stars","Giant NetworkAugust 16, 2020Please update the version, we have new content for you."
"1614875612-2790","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Not Sure","August 8, 2020","I downloaded this game last year. Loved it so I bought the full version and all extensions. Recently the game had an update and I lost all my progress, achievements and access to the full game. I enjoyed the game so much I was happy to play through again. But now it wants me to pay again and give access to alter my phone. So I uninstalled the game. Very much a bummer.","Rated 1 stars out of five stars","Giant NetworkAugust 10, 2020Please send your UID and GPA to our email: nofmgame@hotmail.com. We will solve it as soon as possible. Thank you!"
"1614875612-4070","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Raynard Rafferty","September 13, 2018","","Rated 3 stars out of five stars","null"
"1614875612-4958","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Spoeky","September 11, 2019","","Rated 4 stars out of five stars","null"
"1614875612-1004","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Tim Kephart","February 28, 2021","Great casual game, wonderful art and production values. Each class feels unique and plays differently. There isn't much variety within the class though, so each time you play a knight it will play mostly the same. Still, it's very entertaining, The adds are reasonable, and it looks and feels wonderful to play. Definitely recommend","Rated 5 stars out of five stars","Giant NetworkMarch 2, 2021Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"1614875612-4372","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Pepsch Pepsch","April 9, 2020","","Rated 5 stars out of five stars","null"
"1614875612-4022","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joshua Cook","May 1, 2020","","Rated 1 stars out of five stars","Giant NetworkMay 2, 2020Hello. Team of ""Night of the Full Moon"". We apologize for any inconvenience caused to you. The pay part was unavoidably added for future game development. Thanks for your understanding and supporting. Have fun gaming!　(*^__^*)"
"1614875612-2505","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Russell Wilkins","November 13, 2019","A really solid game but it lacks depth. What I mean is as you play the game you end up replaying the same parts in order to progress through the storyline. You have to replay the same section of the game 4 or 5 times to get through the game. People that have played it will know what I mean. Developers, you could do this better. On the plus side there are no in app purchases.","Rated 3 stars out of five stars","null"
"1614875612-1627","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","DustyTM","December 17, 2020","","Rated 5 stars out of five stars","Giant NetworkDecember 22, 2020Welcome to join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3011","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Alexander Freed","September 24, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3404","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Justin Kelley","August 9, 2020","","Rated 5 stars out of five stars","Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4780","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Zarah Boyington","May 2, 2019","","Rated 1 stars out of five stars","null"
"1614875612-1531","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Theodore Argana","October 23, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2385","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Lee","October 26, 2019","This is the first mobile game I've played that kept me entertained the ENTIRE TIME I PLAYED IT! This even includes when I don't play for awhile. I come back in and have a good time again. Also, I only had the Knight to play with and beat Normal and Hard VII. Now, I going to play the other jobs. A tip of my hat to the developers and artists creating a very fun and great looking game to play.","Rated 5 stars out of five stars","null"
"1614875612-2104","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Timothy Thompson","September 28, 2018","Absolutely love it and hope for lots more content! Love the art! Have not yet tried hard mode since normal feels challenging but still very balanced. Also hope the permanent skill tree gets more nodes or you could always add another one with a slightly different theme/purpose. Keep up the good work and I'll try my best to spread the word!","Rated 5 stars out of five stars","null"
"1614875612-4235","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Charles Pickett","November 6, 2020","","Rated 5 stars out of five stars","Giant NetworkNovember 6, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 30,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"1614875612-4244","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mevil P","April 21, 2020","","Rated 4 stars out of five stars","null"
"1614875612-1573","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","vy hoang","November 4, 2020","","Rated 4 stars out of five stars","null"
"1614875612-4414","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Cory Enos","November 9, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3490","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jao Rivera","April 9, 2019","","Rated 5 stars out of five stars","null"
"1614875612-3088","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Kisuke Urahara","April 22, 2020","","Rated 4 stars out of five stars","null"
"1614875612-1216","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","EVF TRASHJAS","November 13, 2020","The art style in this game is amazing, the gameplay feels satisfying even if repetitive at times and the story is simple but its not bad. 3 stars because most of the game is behind a paywall, even if its not much it stops me and im guessing other people from playing once we've done all the ftp stuff. I wish we could unlock at least some characters with challenges or quests. Edit: you gain a star for that response. Keep doing a great job with the game guys!","Rated 4 stars out of five stars","Giant NetworkNovember 13, 2020We apologize for any inconvenience caused to you. The payment part was unavoidably added for future game development. Thanks for your understanding and supporting. You can join our community activities and have the opportunity to unlock new content for free. FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1381","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Travis Zawisza","November 17, 2020","","Rated 5 stars out of five stars","Giant NetworkNovember 18, 2020Thank you for your review ^_^. Have a wonderful day and best of luck at our game! ^_^"
"1614875612-4457","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ryan Legson","November 8, 2018","","Rated 5 stars out of five stars","Giant NetworkNovember 3, 2018sorry for the inconvenience, we have noticed this issue that some players are confronted with this. our devs are working on this now. for any updates, you can follow our FB page https://www.facebook.com/NightofFullMoonCardGame for more info"
"1614875612-3499","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Max Segulin","September 24, 2018","","Rated 3 stars out of five stars","null"
"1614875612-3554","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Cyril Deriane","May 22, 2019","","Rated 4 stars out of five stars","Giant NetworkMay 15, 2019Hi, Sorry about the problem. We suffered some network problem last two days.
Now, we might have worked it out, please try it again."
"1614875612-1235","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Isaac Dudley","September 30, 2020","After the first 8 hours of playing the first class, I went all in and bought the collector's edition pack and I'm having a hard time putting it down. The card system is super fun and different with every playthrough as you build your deck with semi random cards to choose from. The voice acting and audio is on point and as the initial screen says, I'd highly recommend having the audio on as that's a another great part to the game. It's an excellent single player game that I'm happy to promote.","Rated 5 stars out of five stars","null"
"1614875612-3965","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Monster Builders","September 15, 2018","","Rated 3 stars out of five stars","null"
"1614875612-4966","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mach Maro","October 22, 2019","","Rated 5 stars out of five stars","null"
"1614875612-4280","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Blue","October 1, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3440","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Megan Lee","August 15, 2020","","Rated 5 stars out of five stars","null"
"1614875612-4179","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Chase Spinks","December 27, 2018","","Rated 5 stars out of five stars","null"
"1614875612-3899","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Isaac Chirgwin","July 7, 2020","","Rated 5 stars out of five stars","null"
"1614875612-1178","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brett Butler","October 20, 2020","High replay value! This game is highly addictive Because it's so fun. The replay valuebis high because each play through is different with enemies, perks and cards. It's reasonably priced to buy all the full functions. Well worth the money and time. You won't be able to put it down. I can't wait for the new class to come out!","Rated 5 stars out of five stars","Giant NetworkOctober 22, 2020Thanks for the feedback, there are rich game content, such as collection, exploration, various activities. I hope you can try our game, and we are confident that our game is attractive enough. I wish you a happy game ~"
"1614875612-1602","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Sacha Cabrera Rodríguez","October 21, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 22, 2020Click on the puzzle and you can rotate it directly！"
"1614875612-3915","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Alan Nakane","June 13, 2020","","Rated 5 stars out of five stars","Giant NetworkJune 15, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-5034","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","PeggLegLarry","January 29, 2019","","Rated 2 stars out of five stars","null"
"1614875612-5043","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","NotChelsie Elf","June 16, 2019","","Rated 5 stars out of five stars","null"
"1614875612-4596","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Timothy Krull","February 26, 2019","","Rated 3 stars out of five stars","null"
"1614875612-4566","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Marcus Golding","February 8, 2020","","Rated 5 stars out of five stars","null"
"1614875612-1269","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brad Jimmerson","September 30, 2020","This game has quickly become my favorite. Awesome writing and art style! Many games like this tend to try to limit playstyles by having to keep your deck as small as possible, but this game encourages (with some classes) bigger builds! Fantastic game, totally worth the edition upgrade price. There are so many classes, cards, monsters, bosses, endings... Bravo","Rated 5 stars out of five stars","Giant NetworkOctober 9, 2020We're so happy to hear that you have fun playing our game. Please be sure to rate us more stars if you like it. And, for free contents and honors, be sure to join our 29,000 fans on FB:https://www.facebook.com/NightofFullMoonCardGame/ have fun!!"
"1614875612-2811","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Rotten Rudolph","June 7, 2020","This is a ""slay the spire"" kind of single player adventure card game with multiple classes and several different play styles. Every enemy is voice acted and every card has very nice art. The only gripe I have with this game is that it isn't totally balanced. The soul eater and the knight class for example only really has one viable build. Soul eater can only really do an absorb build and knight can only really do an artillery equipment build (for the higher difficulties)","Rated 4 stars out of five stars","Giant NetworkJune 7, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3879","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Michael","September 25, 2018","","Rated 5 stars out of five stars","null"
"1614875612-2330","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","scott blanchard","September 17, 2019","I really love this game and I reinstalled it after a break, but when I tried to open the game, all I saw was a black screen with no text or gameplay. The music would play but there was no game at all, and eventually, my phone would give me the message on the screen that the game had either shut down or had been stopped. This is in no way a bad review of the game. I simply wanted to state this incase others may be having the same problem or a similar one.","Rated 4 stars out of five stars","null"
"1614875612-2871","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Baconator Rulz","September 14, 2018","","Rated 4 stars out of five stars","null"
"1614875612-1202","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Yiannis Philipopoulos","October 19, 2020","This is a very enjoyable deck builder, one of the best on mobile. The classes have distinct styles from each other, and within. I have purchased all the DLC and the found the prices reasonable. One of my best mobile purchases. My only 2 complaints are that there is not a higher difficulty, as I have played this game so much that the top difficulty rarely poses a challenge, and that the difference between the strongest and worst classes is huge. I always find myself coming back to this game.","Rated 5 stars out of five stars","Giant NetworkOctober 19, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-3224","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Shinobi Kassman","August 16, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1607","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Chevy Yelo","December 30, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2289","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Emily Wells","September 28, 2018","I enjoyed the initial experience but I was surprised at how short it was. Then I found out that they want a dollar per character unlock, each of which is essentially the same experience but with different character abilities. Don't waste your money until they figure out they've overvalued their game.","Rated 3 stars out of five stars","null"
"1614875612-3947","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Mohd Shazwan Abu Hanipah","April 13, 2020","","Rated 5 stars out of five stars","null"
"1614875612-1155","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","PikaGo 18","January 7, 2021","Had to uninstall because it did not work on my phone, that is a little old. Says ""resource incomplete"" and asks to reinstall, which I accept but it does not work still. I got a black screen for many minutes and then app stopped responding. I give 3 stars because the game looks like it would be fun, I really like these deck builder games, too bad I can't try it. I guess I will have to buy a new phone... someday. Would love to see a PC version, maybe on itch.io or steam? Just a suggestion. :)","Rated 3 stars out of five stars","Giant NetworkJanuary 8, 2021We are sorry to hear that you feel this way. Please upgrade your Android OS～"
"1614875612-4158","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Art Mer Jadulan","January 15, 2020","","Rated 4 stars out of five stars","null"
"1614875612-1429","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Brad Zacher","October 26, 2020","","Rated 5 stars out of five stars","Giant NetworkOctober 27, 2020Thank you for your lovely comment. This means a lot to us! If there is any issue or suggestion, please feel free to reach us on Facebook at FB: https://www.facebook.com/NightofFullMoonCardGame/. Or mail at nofmgame@hotmail.com. Have fun gaming!"
"1614875612-3066","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","A Google user","October 8, 2018","","Rated 5 stars out of five stars","null"
"1614875612-5183","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Kevin Lou Velez","July 20, 2020","","Rated 4 stars out of five stars","Giant NetworkJuly 22, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-4546","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","ema agata samal","April 23, 2020","","Rated 5 stars out of five stars","null"
"1614875612-2320","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Joe Callaghan","August 9, 2020","I normally don't write reviews for games and I normally don't pay for games but this one has me hooked, I've played many like it but this one tops the chart. The gameplay is great, the classes all feel balanced and viable and there are multiple ways to play them and the difficultly spike is just right, this game has kept me coming back, overall an awesome game and definitely the perfect time waster.","Rated 5 stars out of five stars","Giant NetworkAugust 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3348","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Athanasios Simonis","July 10, 2020","","Rated 5 stars out of five stars","Giant NetworkJuly 10, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-3150","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jesse Xiong","May 25, 2020","Great game. I do hope the devs make the game into like a coop game or make it so that you can play like multiple roles in one run, where you control red riding hood or the boy at the same time against the baddies. After i bought the game though there are times in where the game just freezes, very small inconvenience","Rated 4 stars out of five stars","Giant NetworkMay 25, 2020Hello. Thank you for supporting us! We appreciate it so much! Your payment will bring hope for the future development of the game. If there is any issue or suggestion feel free to reach us on FB: https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-2337","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Ronnie Shires","July 8, 2020","Wow I haven't played a game like this since Slay the Spire . Granted this game so far is easier but damn is it addictive and fun. No gacha stuff (thankfully) and even their paid stuff isn't too outlandish in price . I highly recommend this for any card game enthusiasts or Brothers Grimm Tales lovers . Game is fantastic and I look forward to what they bring next","Rated 5 stars out of five stars","Giant NetworkJuly 9, 2020Hello. Thank you for supporting us! We appreciate it so much! If there is any issue or suggestion, please feel free to reach us on Facebook:  https://www.facebook.com/NightofFullMoonCardGame/ ! Do enjoy the game! Thank you :D"
"1614875612-1233","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Albert Christian","October 24, 2020","i come back play this game again after 5 months. but the new update make me really disappointed, because i've purchased the collector pack and now there's an ad? like really i like the new role but it should be I'm VIP play without any ad ffs. tbh i write 5 stars before but this whole ad thing it change my mind. i must pay extra money to get rid the ad. kk i just uninstall this game then huh?","Rated 2 stars out of five stars","null"
"1614875612-1887","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Seribro","January 29, 2019","Night of the Full Moon is a passion project, and you can tell. So much effort has been put into the writing, art, and animation that it's criminal to not pick this app up. Ads aren't intrusive, and are purely optional. The multiple DLCs are actually priced fairly for once, and feel like they add something new to the game. To top it all off, this game is seriously so much fun to play! The only complaint I have would be that the RNG on the perks you get can be unfair at times, but that's it!","Rated 4 stars out of five stars","null"
"1614875612-4030","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Lisa Santos","May 22, 2019","","Rated 4 stars out of five stars","null"
"1614875612-3019","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Eric Lefrancois","October 19, 2019","","Rated 5 stars out of five stars","null"
"1614875612-1548","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Martinzer Stanimirzer","October 23, 2020","","Rated 5 stars out of five stars","null"
"1614875612-3003","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Nathan Armour","May 28, 2020","Keeps freezing after headphones screen game is broken unless the devs have a fix.re. tried what you guys suggested did not work screenshot is just a black screen I think it has something to do with Google Play Network because that's not popping up either music is still playing in the background but it's a black screen right after put on your headphones screen","Rated 2 stars out of five stars","Giant NetworkMay 25, 2020Sorry for the problem. You can go to File Management-Mobile Storage-Android-obb-com.ztgame.yyzy to see if there is an .obb file. Delete this file and re-enter the game to see if you can open the game normally（do not need re-download the game）. If can not sovle it, please sent the screenshot to our email: nofmgame@hotmail.com."
"1614875612-3248","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jerold Rillorta","September 7, 2020","","Rated 1 stars out of five stars","Giant NetworkSeptember 7, 2020Please upgrade your Android OS to 7.0～"
"1614875612-4719","https://play.google.com/store/apps/details?id=com.ztgame.yyzy&hl=en&gl=US&showAllReviews=true","Jonuhey Ferreira","September 27, 2018","","Rated 5 stars out of five stars","null"
